"year","size","farmStay","habFact","ppue"
13,0.6,5,3,15.2301271680323
14,0.6,5,3,15.125444338195
15,0.6,5,3,15.0377406616062
16,0.6,5,3,12.0943918143399
17,0.6,5,3,12.0921037165094
18,0.6,5,3,11.9918999533165
19,0.6,5,3,11.9590080240141
20,0.6,5,3,11.9223346882669
21,0.6,5,3,11.9033267120492
22,0.6,5,3,11.8883133914091
23,0.6,5,3,11.8793039111361
24,0.6,5,3,11.873151138055
25,0.6,5,3,11.8694985808741
26,0.6,5,3,11.867262914277
27,0.6,5,3,11.8660155222789
28,0.6,5,3,11.8653088814604
29,0.6,5,3,11.8649081242694
30,0.6,5,3,11.8646506937981
31,0.6,5,3,11.864457720822
32,0.6,5,3,11.8642880114744
33,0.6,5,3,11.8641275547455
34,0.6,5,3,11.8639735327968
35,0.6,5,3,11.8638283585629
36,0.6,5,3,11.8636950881078
37,0.6,5,3,11.863575965339
38,0.6,5,3,11.8634717906106
39,0.6,5,3,11.8633820518427
40,0.6,5,3,11.863305142691
41,0.6,5,3,11.8632384269499
42,0.6,5,3,11.863182063716
43,0.6,5,3,11.863135211254
44,0.6,5,3,11.863096732268
45,0.6,5,3,11.8630653673453
46,0.6,5,3,11.8630399174728
47,0.6,5,3,11.8630192990267
48,0.6,5,3,11.8630025807976
49,0.6,5,3,11.8629889939841
50,0.6,5,3,11.8629779170867
2,0.6,5,4,18.1042974803516
3,0.6,5,4,17.71653092808
4,0.6,5,4,17.3434447503972
5,0.6,5,4,16.991315296066
6,0.6,5,4,16.6656571382512
7,0.6,5,4,16.3702117210169
8,0.6,5,4,16.1067267225085
9,0.6,5,4,15.8751848059602
10,0.6,5,4,15.6742239763727
11,0.6,5,4,15.5015913463437
12,0.6,5,4,15.3545385213231
13,0.6,5,4,15.2301271680323
